URL,Error
{'https://www.basketball-reference.com/boxscores/202210280PHO.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202210280POR.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202210290SAC.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202210290CHO.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202210290BRK.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202210290CHI.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202210290MIL.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202210290DAL.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202210290UTA.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202210300LAC.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202210300BOS.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202210300CLE.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202210300DET.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202210300SAS.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202210300DAL.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202210300PHO.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202210300LAL.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202210310CHO.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202210310WAS.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202210310BRK.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202210310TOR.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202210310MIL.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202210310UTA.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202210310LAC.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211010BRK.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211010MIA.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211010OKC.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211010PHO.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211020PHI.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211020CLE.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211020MIA.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211020NYK.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211020CHI.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211020HOU.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211020MIL.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211020SAS.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211020DAL.html'},'NoneType' object has no attribute 'text'
